height,block time,block size,last commit round
1,1723209427657954000,0,0
2,1723209458520098013,0,0
3,1723209459934315074,0,0
4,1723209461356155947,0,0
5,1723209462676660861,0,0
6,1723209463995657277,0,0
7,1723209465317252515,0,0
8,1723209466649962284,0,0
9,1723209467969607865,0,0
10,1723209469386496710,0,0
11,1723209470705048562,0,0
12,1723209472027727612,15473,0
13,1723209473360397598,0,0
14,1723209474672482081,117481,0
15,1723209476136192718,786219,0
16,1723209477773888878,291924,0
17,1723209479281213631,789276,0
18,1723209480863139994,320400,0
19,1723209482323368344,763073,0
20,1723209483942694868,301745,0
21,1723209485459391400,1389419,0
22,1723209487174628110,849137,0
23,1723209488760633546,1660752,0
24,1723209490436507594,476754,0
25,1723209491939258010,1855045,0
26,1723209493923486329,1963718,0
27,1723209501196906060,1016674,1
28,1723209502936882190,432679,0
29,1723209504499475667,1779420,0
30,1723209506405355442,453183,0
31,1723209507980284566,1581682,0
32,1723209512405471836,1955776,0
33,1723209514257652192,1235188,0
34,1723209516114119569,1477609,0
35,1723209517886535562,553194,0
36,1723209519567404037,1943477,0
37,1723209526567698488,260756,1
38,1723209528213313170,1622881,0
39,1723209530101734280,770580,0
40,1723209531850942491,1949899,0
41,1723209534209780018,1932003,0
42,1723209541431588752,99505,1
43,1723209542954666816,1392122,0
44,1723209544743805864,444711,0
45,1723209546413316663,1809955,0
46,1723209548191797754,1924709,0
47,1723209603706082907,764217,6
48,1723209605540471761,512210,0
49,1723209607253115546,1435519,0
50,1723209608970582313,965612,0
51,1723209610581888206,785824,0
52,1723209612952943981,1932688,0
53,1723209614705168311,1319412,0
54,1723209616551784153,1377691,0
55,1723209618397848100,1945289,0
56,1723209640918348330,1484052,2
