height,block time,block size,last commit round
1,1724704866135564000,0,0
2,1724704899660797574,0,0
3,1724704901474999436,0,0
4,1724704903191950467,0,0
5,1724704905296188342,0,0
6,1724704907082793885,0,0
7,1724704908807144937,0,0
8,1724704910505575978,0,0
9,1724704912243846744,0,0
10,1724704914043144645,0,0
11,1724704915700156434,0,0
12,1724704917320438199,0,0
13,1724704919203961617,0,0
14,1724704920837699098,0,0
15,1724704922533956289,0,0
16,1724704924087413465,0,0
17,1724704925719698588,6292,0
18,1724704927325925412,0,0
19,1724704928943628393,0,0
20,1724704930672307714,901306,0
21,1724704932524613707,1416338,0
22,1724704934357723727,257516,0
23,1724704936068364138,578997,0
24,1724704937739358115,1029328,0
25,1724704939552856952,1029328,0
26,1724704941407432156,0,0
27,1724704943010450214,1222327,0
28,1724704944915416954,964995,0
29,1724704946889445958,450283,0
30,1724704948527609560,836017,0
31,1724704950272750645,1093253,0
32,1724704951984462268,643090,0
33,1724704953724233355,578781,0
34,1724704955374402204,900326,0
35,1724704957064974898,1157658,0
36,1724704958981474451,450307,0
37,1724704960637623768,707663,0
38,1724704962415130230,771996,0
39,1724704964192359496,900494,0
40,1724704965914941004,385854,0
41,1724704967549885426,900326,0
42,1724704969392377601,1028944,0
43,1724704971084212961,514472,0
44,1724704972850674645,643090,0
45,1724704974533840300,836017,0
46,1724704976251630295,836185,0
47,1724704977962415136,514664,0
48,1724704979713855789,836329,0
49,1724704981486039156,1029328,0
50,1724704983208827123,450331,0
51,1724704984775563932,900662,0
52,1724704986530738096,578997,0
53,1724704988290550649,964779,0
54,1724704990030449603,514472,0
55,1724704991683979602,836017,0
56,1724704993314944383,385854,0
57,1724704994953393731,1157898,0
58,1724704996710743372,643330,0
